age,frequency,duration,group_size,helpful_activity,understanding,cgpa_range,grade_effect,stress_effect,motivation_score,solo_vs_group,location,overall_effect
26ñ28,5 or more times,Less than 1 hour,4ñ5 people,Discussing and explaining concepts,No noticeable change,Below 2.00,Significantly worsened,Somewhat increased stress,4,Group study is more effective,Library,Moderately effective
26ñ28,3ñ4 times,Less than 1 hour,2ñ3 people,Discussing and explaining concepts,Significantly decreases understanding,3.50ñ4.00,Slightly improved,Somewhat reduced stress,4,Solo study is more effective,CafÈ,Moderately effective
26ñ28,3ñ4 times,Less than 1 hour,4ñ5 people,Teaching material to peers,Somewhat decreases understanding,3.50ñ4.00,Slightly improved,Significantly increased stress,5,Group study is more effective,Online,Moderately effective
23ñ25,Never,1ñ2 hours,More than 8 people,Reviewing notes or past exams,No noticeable change,3.50ñ4.00,Significantly improved,No Change,4,Group study is more effective,Library,Not effective
26ñ28,3ñ4 times,1ñ2 hours,2ñ3 people,Teaching material to peers,Significantly increases understanding,2.00ñ2.49,Significantly improved,Somewhat increased stress,4,They are equally effective,Online,Moderately effective
26ñ28,1ñ2 times,More than 3 hours,More than 8 people,Reviewing notes or past exams,Significantly increases understanding,2.00ñ2.49,No change,Somewhat reduced stress,5,Group study is more effective,CafÈ,Moderately effective
26ñ28,5 or more times,1ñ2 hours,2ñ3 people,Teaching material to peers,Somewhat increases understanding,3.50ñ4.00,Significantly improved,Significantly increased stress,2,They are equally effective,CafÈ,Highly effective
23ñ25,1ñ2 times,2ñ3 hours,2ñ3 people,Quizzing each other,Significantly increases understanding,Below 2.00,Significantly worsened,Significantly reduced stress,5,Solo study is more effective,CafÈ,Moderately effective
20ñ22,1ñ2 times,More than 3 hours,More than 8 people,Quizzing each other,Somewhat increases understanding,2.50ñ2.99,Slightly improved,Significantly reduced stress,3,They are equally effective,Classroom,Highly effective
23ñ25,Never,1ñ2 hours,6ñ8 people,Reviewing notes or past exams,No noticeable change,3.00ñ3.49,Significantly improved,No Change,1,They are equally effective,Classroom,Moderately effective
23ñ25,5 or more times,2ñ3 hours,6ñ8 people,Reviewing notes or past exams,Significantly decreases understanding,2.00ñ2.49,No change,No Change,3,Solo study is more effective,Online,Not effective
23ñ25,1ñ2 times,1ñ2 hours,More than 8 people,Quizzing each other,Somewhat decreases understanding,3.00ñ3.49,Slightly improved,Significantly increased stress,1,Group study is more effective,CafÈ,Highly effective
20ñ22,Never,1ñ2 hours,2ñ3 people,Discussing and explaining concepts,Significantly increases understanding,Below 2.00,Slightly improved,No Change,5,They are equally effective,Online,Highly effective
23ñ25,1ñ2 times,More than 3 hours,More than 8 people,Teaching material to peers,Somewhat decreases understanding,2.00ñ2.49,Slightly improved,No Change,1,Group study is more effective,Library,Highly effective
23ñ25,5 or more times,2ñ3 hours,More than 8 people,Reviewing notes or past exams,No noticeable change,2.50ñ2.99,Significantly worsened,Significantly reduced stress,4,They are equally effective,Online,Highly effective
23ñ25,1ñ2 times,2ñ3 hours,More than 8 people,Reviewing notes or past exams,Somewhat increases understanding,Below 2.00,Slightly worsened,Somewhat reduced stress,5,They are equally effective,Classroom,Highly effective
20ñ22,3ñ4 times,2ñ3 hours,More than 8 people,Teaching material to peers,No noticeable change,3.50ñ4.00,Slightly worsened,Somewhat reduced stress,4,They are equally effective,CafÈ,Not effective
20ñ22,Never,More than 3 hours,More than 8 people,Quizzing each other,Somewhat increases understanding,3.50ñ4.00,Significantly improved,Somewhat increased stress,1,Group study is more effective,Classroom,Highly effective
23ñ25,5 or more times,2ñ3 hours,4ñ5 people,Quizzing each other,Somewhat increases understanding,2.50ñ2.99,Slightly improved,Somewhat reduced stress,3,They are equally effective,CafÈ,Highly effective
20ñ22,5 or more times,More than 3 hours,2ñ3 people,Reviewing notes or past exams,Significantly increases understanding,2.50ñ2.99,No change,Somewhat increased stress,4,They are equally effective,CafÈ,Not effective
20ñ22,5 or more times,2ñ3 hours,4ñ5 people,Teaching material to peers,Somewhat increases understanding,Below 2.00,Significantly worsened,No Change,5,Group study is more effective,Library,Not effective
26ñ28,3ñ4 times,2ñ3 hours,More than 8 people,Reviewing notes or past exams,No noticeable change,2.50ñ2.99,Slightly worsened,Significantly increased stress,3,They are equally effective,Classroom,Highly effective
23ñ25,3ñ4 times,More than 3 hours,6ñ8 people,Teaching material to peers,No noticeable change,2.00ñ2.49,Slightly worsened,Somewhat increased stress,5,Group study is more effective,Library,Moderately effective
20ñ22,Never,1ñ2 hours,More than 8 people,Teaching material to peers,No noticeable change,3.50ñ4.00,Significantly improved,No Change,5,They are equally effective,Library,Not effective
20ñ22,5 or more times,1ñ2 hours,6ñ8 people,Teaching material to peers,Somewhat increases understanding,2.00ñ2.49,Slightly worsened,Significantly reduced stress,4,Group study is more effective,Online,Moderately effective
20ñ22,1ñ2 times,1ñ2 hours,6ñ8 people,Quizzing each other,Significantly increases understanding,Below 2.00,Slightly improved,Significantly increased stress,1,Solo study is more effective,CafÈ,Highly effective
20ñ22,Never,1ñ2 hours,More than 8 people,Quizzing each other,Somewhat increases understanding,3.50ñ4.00,Significantly improved,Somewhat increased stress,4,Solo study is more effective,Library,Not effective
26ñ28,1ñ2 times,More than 3 hours,2ñ3 people,Teaching material to peers,Somewhat decreases understanding,3.50ñ4.00,Significantly worsened,No Change,2,Group study is more effective,Online,Highly effective
26ñ28,3ñ4 times,More than 3 hours,4ñ5 people,Teaching material to peers,Somewhat decreases understanding,2.50ñ2.99,Slightly improved,Somewhat reduced stress,5,Group study is more effective,CafÈ,Moderately effective
20ñ22,Never,1ñ2 hours,6ñ8 people,Quizzing each other,Somewhat increases understanding,Below 2.00,Significantly improved,Somewhat reduced stress,5,Solo study is more effective,Online,Not effective
20ñ22,5 or more times,1ñ2 hours,2ñ3 people,Teaching material to peers,Somewhat increases understanding,2.50ñ2.99,No change,Significantly increased stress,5,Solo study is more effective,Library,Not effective
23ñ25,Never,2ñ3 hours,4ñ5 people,Reviewing notes or past exams,No noticeable change,Below 2.00,No change,Somewhat increased stress,1,Solo study is more effective,Online,Moderately effective
20ñ22,Never,More than 3 hours,4ñ5 people,Discussing and explaining concepts,Somewhat increases understanding,2.00ñ2.49,Slightly worsened,Somewhat reduced stress,1,They are equally effective,Classroom,Moderately effective
20ñ22,Never,1ñ2 hours,4ñ5 people,Discussing and explaining concepts,Somewhat increases understanding,Below 2.00,Significantly improved,Significantly reduced stress,2,Group study is more effective,Classroom,Not effective
23ñ25,1ñ2 times,Less than 1 hour,6ñ8 people,Reviewing notes or past exams,Somewhat decreases understanding,2.00ñ2.49,No change,Significantly reduced stress,5,Solo study is more effective,CafÈ,Not effective
23ñ25,3ñ4 times,1ñ2 hours,2ñ3 people,Discussing and explaining concepts,No noticeable change,3.50ñ4.00,Significantly improved,Somewhat increased stress,3,Group study is more effective,Classroom,Not effective
26ñ28,5 or more times,2ñ3 hours,6ñ8 people,Teaching material to peers,Somewhat increases understanding,2.00ñ2.49,Slightly worsened,Somewhat increased stress,2,Solo study is more effective,Library,Moderately effective
20ñ22,1ñ2 times,More than 3 hours,6ñ8 people,Quizzing each other,Significantly increases understanding,3.50ñ4.00,Slightly improved,No Change,1,They are equally effective,CafÈ,Not effective
26ñ28,3ñ4 times,1ñ2 hours,4ñ5 people,Quizzing each other,Significantly decreases understanding,2.50ñ2.99,No change,Somewhat increased stress,2,They are equally effective,Classroom,Moderately effective
23ñ25,5 or more times,Less than 1 hour,4ñ5 people,Reviewing notes or past exams,Somewhat increases understanding,2.50ñ2.99,Slightly improved,Somewhat reduced stress,5,Group study is more effective,Library,Moderately effective
20ñ22,5 or more times,1ñ2 hours,More than 8 people,Quizzing each other,Significantly increases understanding,Below 2.00,Significantly worsened,Somewhat increased stress,5,They are equally effective,Library,Not effective
23ñ25,3ñ4 times,Less than 1 hour,More than 8 people,Teaching material to peers,Somewhat decreases understanding,2.50ñ2.99,Slightly improved,Somewhat increased stress,2,Group study is more effective,Online,Moderately effective
26ñ28,5 or more times,1ñ2 hours,More than 8 people,Teaching material to peers,Significantly decreases understanding,Below 2.00,Significantly worsened,Somewhat increased stress,1,They are equally effective,CafÈ,Moderately effective
23ñ25,Never,1ñ2 hours,More than 8 people,Teaching material to peers,No noticeable change,2.50ñ2.99,Slightly worsened,Significantly increased stress,3,Group study is more effective,Classroom,Moderately effective
26ñ28,3ñ4 times,1ñ2 hours,2ñ3 people,Discussing and explaining concepts,Somewhat increases understanding,3.50ñ4.00,No change,Somewhat increased stress,5,They are equally effective,CafÈ,Moderately effective
26ñ28,1ñ2 times,More than 3 hours,2ñ3 people,Discussing and explaining concepts,Significantly decreases understanding,3.50ñ4.00,Significantly improved,Somewhat increased stress,4,Group study is more effective,Classroom,Not effective
26ñ28,1ñ2 times,1ñ2 hours,6ñ8 people,Teaching material to peers,Significantly decreases understanding,2.00ñ2.49,Slightly worsened,Significantly increased stress,4,They are equally effective,Library,Not effective
20ñ22,1ñ2 times,2ñ3 hours,4ñ5 people,Discussing and explaining concepts,Significantly decreases understanding,Below 2.00,Significantly improved,Significantly increased stress,3,Solo study is more effective,Library,Highly effective
26ñ28,3ñ4 times,2ñ3 hours,2ñ3 people,Reviewing notes or past exams,Somewhat decreases understanding,3.00ñ3.49,Significantly worsened,Significantly reduced stress,4,Group study is more effective,Online,Moderately effective
26ñ28,3ñ4 times,2ñ3 hours,More than 8 people,Teaching material to peers,Significantly decreases understanding,Below 2.00,Significantly improved,Significantly increased stress,5,Solo study is more effective,Online,Not effective
23ñ25,1ñ2 times,1ñ2 hours,6ñ8 people,Teaching material to peers,Significantly decreases understanding,Below 2.00,Significantly improved,No Change,5,Group study is more effective,CafÈ,Not effective
23ñ25,1ñ2 times,2ñ3 hours,4ñ5 people,Quizzing each other,No noticeable change,Below 2.00,Slightly worsened,Somewhat reduced stress,3,Solo study is more effective,Online,Not effective
23ñ25,5 or more times,2ñ3 hours,2ñ3 people,Discussing and explaining concepts,Significantly increases understanding,3.50ñ4.00,Slightly worsened,Somewhat increased stress,4,They are equally effective,CafÈ,Not effective
20ñ22,5 or more times,2ñ3 hours,More than 8 people,Teaching material to peers,No noticeable change,2.00ñ2.49,No change,Somewhat increased stress,5,Solo study is more effective,CafÈ,Highly effective
20ñ22,Never,More than 3 hours,More than 8 people,Reviewing notes or past exams,Somewhat increases understanding,2.00ñ2.49,Slightly improved,Somewhat increased stress,1,They are equally effective,Online,Not effective
26ñ28,3ñ4 times,Less than 1 hour,2ñ3 people,Quizzing each other,Significantly increases understanding,3.50ñ4.00,Significantly worsened,Somewhat reduced stress,3,Group study is more effective,Classroom,Highly effective
23ñ25,3ñ4 times,Less than 1 hour,More than 8 people,Quizzing each other,Significantly decreases understanding,3.50ñ4.00,Significantly worsened,No Change,5,Group study is more effective,Classroom,Not effective
26ñ28,5 or more times,2ñ3 hours,2ñ3 people,Discussing and explaining concepts,Somewhat increases understanding,Below 2.00,Slightly improved,Somewhat increased stress,4,They are equally effective,CafÈ,Not effective
20ñ22,1ñ2 times,Less than 1 hour,4ñ5 people,Discussing and explaining concepts,No noticeable change,2.00ñ2.49,Significantly worsened,Somewhat reduced stress,5,Solo study is more effective,CafÈ,Not effective
26ñ28,3ñ4 times,Less than 1 hour,4ñ5 people,Reviewing notes or past exams,Somewhat increases understanding,2.50ñ2.99,No change,No Change,3,Group study is more effective,Online,Highly effective
23ñ25,3ñ4 times,More than 3 hours,2ñ3 people,Reviewing notes or past exams,Somewhat decreases understanding,2.50ñ2.99,No change,Significantly increased stress,4,Solo study is more effective,CafÈ,Highly effective
23ñ25,3ñ4 times,1ñ2 hours,6ñ8 people,Teaching material to peers,Significantly decreases understanding,2.00ñ2.49,Significantly worsened,Somewhat reduced stress,2,Group study is more effective,Classroom,Highly effective
26ñ28,5 or more times,2ñ3 hours,2ñ3 people,Discussing and explaining concepts,Somewhat increases understanding,3.50ñ4.00,No change,Significantly increased stress,3,Solo study is more effective,Classroom,Highly effective
23ñ25,3ñ4 times,1ñ2 hours,6ñ8 people,Quizzing each other,Somewhat increases understanding,2.00ñ2.49,Significantly worsened,Somewhat increased stress,3,Group study is more effective,Online,Not effective
23ñ25,Never,1ñ2 hours,2ñ3 people,Discussing and explaining concepts,Significantly increases understanding,3.00ñ3.49,Significantly worsened,Somewhat reduced stress,1,They are equally effective,Classroom,Highly effective
23ñ25,5 or more times,More than 3 hours,2ñ3 people,Discussing and explaining concepts,Somewhat increases understanding,3.50ñ4.00,Slightly improved,Somewhat increased stress,3,They are equally effective,Classroom,Moderately effective
20ñ22,1ñ2 times,2ñ3 hours,6ñ8 people,Reviewing notes or past exams,Significantly decreases understanding,3.00ñ3.49,Slightly worsened,No Change,5,They are equally effective,CafÈ,Not effective
26ñ28,3ñ4 times,1ñ2 hours,More than 8 people,Teaching material to peers,Somewhat increases understanding,3.50ñ4.00,Slightly improved,Significantly increased stress,2,They are equally effective,CafÈ,Moderately effective
23ñ25,5 or more times,2ñ3 hours,More than 8 people,Quizzing each other,Significantly increases understanding,2.50ñ2.99,No change,Significantly increased stress,4,Group study is more effective,CafÈ,Not effective
23ñ25,3ñ4 times,Less than 1 hour,More than 8 people,Discussing and explaining concepts,No noticeable change,Below 2.00,Slightly worsened,Somewhat reduced stress,4,They are equally effective,CafÈ,Highly effective
26ñ28,Never,More than 3 hours,More than 8 people,Quizzing each other,Somewhat decreases understanding,2.00ñ2.49,Significantly improved,No Change,1,Solo study is more effective,Online,Not effective
20ñ22,Never,1ñ2 hours,6ñ8 people,Discussing and explaining concepts,Somewhat increases understanding,3.50ñ4.00,Slightly improved,Significantly increased stress,3,Solo study is more effective,Library,Not effective
20ñ22,Never,2ñ3 hours,2ñ3 people,Reviewing notes or past exams,Somewhat decreases understanding,3.00ñ3.49,Slightly improved,Significantly reduced stress,5,They are equally effective,Classroom,Highly effective
20ñ22,3ñ4 times,More than 3 hours,4ñ5 people,Quizzing each other,Somewhat increases understanding,2.50ñ2.99,Significantly worsened,Somewhat increased stress,3,Group study is more effective,Online,Moderately effective
23ñ25,5 or more times,Less than 1 hour,4ñ5 people,Quizzing each other,No noticeable change,2.00ñ2.49,Slightly worsened,No Change,1,They are equally effective,Library,Not effective
23ñ25,1ñ2 times,1ñ2 hours,More than 8 people,Teaching material to peers,Somewhat decreases understanding,2.00ñ2.49,Slightly improved,Significantly increased stress,5,They are equally effective,Library,Moderately effective
20ñ22,5 or more times,2ñ3 hours,More than 8 people,Discussing and explaining concepts,Significantly increases understanding,3.00ñ3.49,Slightly improved,No Change,5,They are equally effective,Online,Highly effective
23ñ25,5 or more times,More than 3 hours,6ñ8 people,Discussing and explaining concepts,Significantly increases understanding,2.50ñ2.99,Significantly worsened,Significantly increased stress,1,They are equally effective,Library,Moderately effective
26ñ28,5 or more times,2ñ3 hours,4ñ5 people,Discussing and explaining concepts,No noticeable change,2.00ñ2.49,Significantly improved,No Change,5,They are equally effective,CafÈ,Not effective
23ñ25,Never,More than 3 hours,6ñ8 people,Quizzing each other,No noticeable change,2.50ñ2.99,No change,Somewhat increased stress,5,They are equally effective,Online,Not effective
26ñ28,1ñ2 times,2ñ3 hours,More than 8 people,Reviewing notes or past exams,Significantly decreases understanding,Below 2.00,Significantly improved,Somewhat increased stress,3,Solo study is more effective,CafÈ,Not effective
23ñ25,1ñ2 times,Less than 1 hour,6ñ8 people,Reviewing notes or past exams,Somewhat decreases understanding,2.50ñ2.99,No change,Somewhat reduced stress,4,Group study is more effective,CafÈ,Highly effective
20ñ22,5 or more times,More than 3 hours,6ñ8 people,Discussing and explaining concepts,Somewhat increases understanding,Below 2.00,Slightly worsened,Somewhat reduced stress,1,Group study is more effective,Library,Moderately effective
20ñ22,Never,More than 3 hours,6ñ8 people,Teaching material to peers,No noticeable change,3.50ñ4.00,Slightly improved,No Change,2,Solo study is more effective,Online,Not effective
23ñ25,1ñ2 times,2ñ3 hours,4ñ5 people,Teaching material to peers,Significantly increases understanding,2.50ñ2.99,Significantly improved,Significantly increased stress,5,Group study is more effective,Online,Highly effective
20ñ22,5 or more times,2ñ3 hours,More than 8 people,Teaching material to peers,Somewhat increases understanding,2.00ñ2.49,Slightly worsened,Significantly increased stress,5,They are equally effective,Library,Not effective
20ñ22,3ñ4 times,More than 3 hours,More than 8 people,Quizzing each other,Somewhat increases understanding,2.50ñ2.99,No change,Significantly reduced stress,2,They are equally effective,Classroom,Highly effective
26ñ28,5 or more times,1ñ2 hours,6ñ8 people,Reviewing notes or past exams,Somewhat decreases understanding,2.00ñ2.49,Significantly improved,Significantly increased stress,2,Group study is more effective,Classroom,Moderately effective
23ñ25,3ñ4 times,2ñ3 hours,6ñ8 people,Quizzing each other,Somewhat increases understanding,2.50ñ2.99,Significantly improved,Somewhat increased stress,3,They are equally effective,Online,Highly effective
20ñ22,3ñ4 times,2ñ3 hours,2ñ3 people,Quizzing each other,Somewhat decreases understanding,2.50ñ2.99,Significantly worsened,Somewhat increased stress,2,Solo study is more effective,CafÈ,Moderately effective
20ñ22,3ñ4 times,1ñ2 hours,4ñ5 people,Quizzing each other,No noticeable change,3.00ñ3.49,Significantly worsened,Somewhat reduced stress,4,Group study is more effective,Classroom,Not effective
26ñ28,3ñ4 times,More than 3 hours,6ñ8 people,Discussing and explaining concepts,Somewhat decreases understanding,2.50ñ2.99,Slightly worsened,No Change,1,Solo study is more effective,CafÈ,Moderately effective
20ñ22,3ñ4 times,1ñ2 hours,2ñ3 people,Reviewing notes or past exams,Somewhat increases understanding,3.50ñ4.00,No change,Somewhat increased stress,4,Group study is more effective,CafÈ,Not effective
23ñ25,5 or more times,Less than 1 hour,More than 8 people,Teaching material to peers,Somewhat decreases understanding,3.00ñ3.49,Significantly worsened,Somewhat increased stress,5,They are equally effective,Classroom,Not effective
23ñ25,5 or more times,More than 3 hours,2ñ3 people,Reviewing notes or past exams,Somewhat increases understanding,2.50ñ2.99,Significantly worsened,Significantly increased stress,5,Solo study is more effective,Classroom,Not effective
23ñ25,1ñ2 times,1ñ2 hours,More than 8 people,Teaching material to peers,Significantly decreases understanding,Below 2.00,Slightly worsened,Somewhat increased stress,5,Solo study is more effective,Online,Highly effective
23ñ25,5 or more times,1ñ2 hours,2ñ3 people,Discussing and explaining concepts,Somewhat decreases understanding,3.50ñ4.00,Significantly improved,Significantly reduced stress,3,Group study is more effective,Library,Not effective
23ñ25,Never,More than 3 hours,2ñ3 people,Reviewing notes or past exams,Somewhat decreases understanding,2.00ñ2.49,Slightly worsened,Somewhat increased stress,1,They are equally effective,Library,Highly effective
26ñ28,3ñ4 times,2ñ3 hours,More than 8 people,Discussing and explaining concepts,Somewhat increases understanding,Below 2.00,Slightly improved,Somewhat reduced stress,2,They are equally effective,Online,Moderately effective
23ñ25,3ñ4 times,More than 3 hours,6ñ8 people,Discussing and explaining concepts,No noticeable change,3.50ñ4.00,Slightly improved,Significantly reduced stress,5,Group study is more effective,Library,Moderately effective
26ñ28,1ñ2 times,More than 3 hours,4ñ5 people,Quizzing each other,Significantly decreases understanding,3.50ñ4.00,Significantly improved,Significantly increased stress,1,Group study is more effective,Online,Highly effective
20ñ22,3ñ4 times,1ñ2 hours,4ñ5 people,Quizzing each other,Somewhat decreases understanding,3.00ñ3.49,Significantly worsened,No Change,2,They are equally effective,Library,Not effective
20ñ22,1ñ2 times,Less than 1 hour,6ñ8 people,Teaching material to peers,Significantly increases understanding,Below 2.00,Significantly worsened,Significantly reduced stress,1,Solo study is more effective,Classroom,Moderately effective
23ñ25,5 or more times,More than 3 hours,4ñ5 people,Discussing and explaining concepts,Significantly increases understanding,2.00ñ2.49,Significantly improved,Significantly reduced stress,4,Solo study is more effective,Classroom,Moderately effective
20ñ22,1ñ2 times,More than 3 hours,6ñ8 people,Reviewing notes or past exams,No noticeable change,3.00ñ3.49,No change,Significantly increased stress,3,They are equally effective,Library,Not effective
26ñ28,3ñ4 times,1ñ2 hours,More than 8 people,Reviewing notes or past exams,Significantly decreases understanding,2.50ñ2.99,No change,No Change,4,Group study is more effective,Online,Moderately effective
20ñ22,1ñ2 times,2ñ3 hours,4ñ5 people,Reviewing notes or past exams,Significantly increases understanding,3.50ñ4.00,Significantly improved,Somewhat reduced stress,3,Solo study is more effective,CafÈ,Not effective
26ñ28,5 or more times,2ñ3 hours,4ñ5 people,Quizzing each other,Somewhat increases understanding,3.50ñ4.00,Significantly worsened,Somewhat reduced stress,1,Solo study is more effective,Online,Highly effective
20ñ22,3ñ4 times,More than 3 hours,More than 8 people,Reviewing notes or past exams,No noticeable change,3.00ñ3.49,Significantly improved,Somewhat increased stress,3,Solo study is more effective,CafÈ,Highly effective
26ñ28,1ñ2 times,1ñ2 hours,4ñ5 people,Quizzing each other,Significantly increases understanding,2.00ñ2.49,Slightly improved,Significantly reduced stress,2,Solo study is more effective,CafÈ,Moderately effective
20ñ22,1ñ2 times,1ñ2 hours,2ñ3 people,Reviewing notes or past exams,No noticeable change,2.50ñ2.99,Slightly improved,Somewhat increased stress,4,Solo study is more effective,Classroom,Not effective
26ñ28,5 or more times,2ñ3 hours,6ñ8 people,Reviewing notes or past exams,Significantly increases understanding,3.50ñ4.00,Significantly improved,Significantly reduced stress,3,Solo study is more effective,Classroom,Moderately effective
23ñ25,3ñ4 times,More than 3 hours,6ñ8 people,Teaching material to peers,Somewhat decreases understanding,3.50ñ4.00,Significantly worsened,Significantly reduced stress,4,Solo study is more effective,Online,Not effective
20ñ22,1ñ2 times,More than 3 hours,More than 8 people,Teaching material to peers,Somewhat increases understanding,3.00ñ3.49,Slightly worsened,Somewhat reduced stress,2,Solo study is more effective,Online,Highly effective
20ñ22,Never,Less than 1 hour,More than 8 people,Reviewing notes or past exams,Somewhat decreases understanding,3.00ñ3.49,Significantly improved,Somewhat reduced stress,1,They are equally effective,Online,Moderately effective
20ñ22,1ñ2 times,More than 3 hours,2ñ3 people,Reviewing notes or past exams,Significantly decreases understanding,2.50ñ2.99,No change,Significantly reduced stress,1,Group study is more effective,Classroom,Not effective
26ñ28,1ñ2 times,Less than 1 hour,4ñ5 people,Reviewing notes or past exams,Significantly increases understanding,2.00ñ2.49,Significantly improved,Significantly reduced stress,1,Solo study is more effective,Classroom,Highly effective
20ñ22,1ñ2 times,More than 3 hours,4ñ5 people,Discussing and explaining concepts,Significantly increases understanding,Below 2.00,Significantly improved,Somewhat reduced stress,2,Group study is more effective,Online,Moderately effective
23ñ25,1ñ2 times,More than 3 hours,2ñ3 people,Quizzing each other,No noticeable change,Below 2.00,No change,Somewhat reduced stress,5,They are equally effective,Online,Not effective
26ñ28,5 or more times,1ñ2 hours,2ñ3 people,Reviewing notes or past exams,Significantly decreases understanding,2.50ñ2.99,Significantly improved,No Change,4,Solo study is more effective,Library,Not effective
20ñ22,Never,1ñ2 hours,More than 8 people,Teaching material to peers,Somewhat decreases understanding,Below 2.00,Significantly worsened,Somewhat increased stress,4,Group study is more effective,Online,Moderately effective
23ñ25,Never,1ñ2 hours,4ñ5 people,Teaching material to peers,Significantly decreases understanding,Below 2.00,Significantly worsened,No Change,5,Group study is more effective,CafÈ,Highly effective
26ñ28,3ñ4 times,2ñ3 hours,6ñ8 people,Quizzing each other,Significantly increases understanding,3.50ñ4.00,Significantly worsened,Somewhat reduced stress,3,Solo study is more effective,Classroom,Moderately effective
26ñ28,3ñ4 times,1ñ2 hours,2ñ3 people,Teaching material to peers,Significantly decreases understanding,3.50ñ4.00,Significantly improved,Somewhat increased stress,2,Solo study is more effective,Library,Moderately effective
23ñ25,1ñ2 times,2ñ3 hours,2ñ3 people,Reviewing notes or past exams,Somewhat increases understanding,2.00ñ2.49,Significantly worsened,No Change,5,They are equally effective,CafÈ,Moderately effective
20ñ22,5 or more times,More than 3 hours,6ñ8 people,Discussing and explaining concepts,Somewhat decreases understanding,2.50ñ2.99,Significantly improved,Significantly reduced stress,4,They are equally effective,CafÈ,Not effective
23ñ25,3ñ4 times,More than 3 hours,2ñ3 people,Teaching material to peers,Somewhat decreases understanding,2.50ñ2.99,Slightly improved,Somewhat increased stress,2,They are equally effective,Classroom,Highly effective
20ñ22,Never,More than 3 hours,6ñ8 people,Discussing and explaining concepts,Somewhat decreases understanding,2.50ñ2.99,Significantly worsened,Significantly increased stress,3,Group study is more effective,Classroom,Highly effective
26ñ28,1ñ2 times,2ñ3 hours,2ñ3 people,Quizzing each other,No noticeable change,3.00ñ3.49,Significantly improved,No Change,4,Group study is more effective,CafÈ,Moderately effective
26ñ28,5 or more times,More than 3 hours,4ñ5 people,Quizzing each other,Somewhat decreases understanding,2.50ñ2.99,Significantly worsened,Somewhat reduced stress,2,Group study is more effective,CafÈ,Moderately effective
26ñ28,Never,Less than 1 hour,More than 8 people,Discussing and explaining concepts,Significantly increases understanding,Below 2.00,Slightly worsened,Somewhat increased stress,5,Solo study is more effective,CafÈ,Highly effective
26ñ28,Never,Less than 1 hour,4ñ5 people,Discussing and explaining concepts,Significantly increases understanding,Below 2.00,Significantly worsened,Significantly reduced stress,5,Solo study is more effective,Library,Not effective
26ñ28,5 or more times,More than 3 hours,4ñ5 people,Discussing and explaining concepts,Somewhat increases understanding,3.00ñ3.49,Slightly worsened,Somewhat reduced stress,1,Solo study is more effective,Classroom,Not effective
20ñ22,5 or more times,More than 3 hours,4ñ5 people,Teaching material to peers,Significantly increases understanding,3.00ñ3.49,Significantly improved,Significantly reduced stress,1,Group study is more effective,CafÈ,Highly effective
23ñ25,3ñ4 times,Less than 1 hour,4ñ5 people,Teaching material to peers,Significantly decreases understanding,3.50ñ4.00,Significantly improved,Somewhat reduced stress,4,Solo study is more effective,CafÈ,Not effective
26ñ28,1ñ2 times,Less than 1 hour,More than 8 people,Discussing and explaining concepts,No noticeable change,3.00ñ3.49,Slightly worsened,No Change,1,They are equally effective,CafÈ,Moderately effective
26ñ28,1ñ2 times,Less than 1 hour,2ñ3 people,Reviewing notes or past exams,Significantly increases understanding,3.50ñ4.00,Slightly improved,Significantly increased stress,5,Solo study is more effective,Classroom,Highly effective
23ñ25,5 or more times,Less than 1 hour,More than 8 people,Reviewing notes or past exams,Significantly decreases understanding,3.50ñ4.00,Slightly worsened,Significantly increased stress,1,They are equally effective,CafÈ,Not effective
23ñ25,5 or more times,2ñ3 hours,6ñ8 people,Quizzing each other,No noticeable change,2.50ñ2.99,Significantly improved,No Change,1,They are equally effective,Classroom,Moderately effective
23ñ25,3ñ4 times,More than 3 hours,More than 8 people,Discussing and explaining concepts,Significantly increases understanding,3.50ñ4.00,Slightly worsened,Significantly increased stress,2,Group study is more effective,CafÈ,Highly effective
23ñ25,5 or more times,Less than 1 hour,4ñ5 people,Teaching material to peers,Somewhat decreases understanding,2.50ñ2.99,Significantly worsened,Somewhat reduced stress,4,They are equally effective,Classroom,Highly effective
26ñ28,5 or more times,1ñ2 hours,4ñ5 people,Quizzing each other,No noticeable change,2.50ñ2.99,Significantly improved,Somewhat increased stress,5,They are equally effective,Library,Not effective
20ñ22,3ñ4 times,2ñ3 hours,2ñ3 people,Quizzing each other,Somewhat increases understanding,3.00ñ3.49,Slightly worsened,Somewhat increased stress,1,Group study is more effective,Online,Highly effective
26ñ28,1ñ2 times,1ñ2 hours,4ñ5 people,Quizzing each other,Significantly decreases understanding,3.00ñ3.49,Significantly worsened,Significantly increased stress,2,Solo study is more effective,Online,Highly effective
23ñ25,3ñ4 times,More than 3 hours,4ñ5 people,Reviewing notes or past exams,Significantly decreases understanding,3.00ñ3.49,Slightly improved,Somewhat reduced stress,2,Solo study is more effective,Online,Not effective
20ñ22,Never,2ñ3 hours,4ñ5 people,Quizzing each other,Significantly increases understanding,3.00ñ3.49,Significantly worsened,Somewhat reduced stress,5,They are equally effective,Classroom,Highly effective
